iter	Passed	Remaining
196	277	1132
197	278	1127
198	279	1123
199	279	1118
200	280	1114
201	280	1109
202	281	1105
203	282	1100
204	282	1096
205	283	1092
206	283	1087
207	284	1083
208	285	1078
209	285	1074
210	286	1070
211	287	1067
212	287	1063
213	288	1059
214	289	1055
215	289	1052
216	290	1048
217	291	1044
218	291	1040
219	292	1036
220	293	1033
221	293	1029
222	294	1025
223	294	1021
224	295	1017
225	296	1013
226	296	1010
227	297	1007
228	298	1004
229	298	1000
230	299	996
231	300	993
232	300	989
233	301	986
234	301	983
235	302	979
236	303	976
237	303	972
238	304	969
239	305	965
240	305	962
241	306	959
242	306	955
243	307	952
244	307	948
245	308	945
246	309	942
247	309	939
248	310	935
249	310	932
250	311	929
251	312	926
252	312	923
253	313	919
254	313	916
255	314	913
256	314	910
257	315	907
258	316	904
259	316	902
260	317	899
261	318	896
262	319	894
263	319	891
264	320	888
265	320	885
266	321	882
267	321	879
268	322	876
269	323	873
270	323	871
271	324	868
272	324	865
273	325	862
274	326	859
275	326	857
276	327	854
277	328	851
278	328	849
279	329	846
280	329	844
281	330	841
282	331	838
283	331	836
284	332	833
285	333	831
286	333	828
287	334	826
288	334	823
289	335	821
290	336	818
291	336	816
292	337	814
293	338	811
294	338	809
295	339	806
296	339	804
297	340	801
298	341	799
299	341	797
300	342	794
301	342	792
302	343	790
303	344	787
304	344	785
305	345	783
306	345	780
307	346	778
308	347	776
309	347	774
310	348	772
311	349	770
312	349	767
313	350	765
314	350	763
315	351	761
316	352	758
317	352	756
318	353	754
319	353	752
320	354	749
321	355	747
322	355	745
323	356	743
324	356	741
325	357	739
326	358	737
327	358	734
328	359	732
329	359	730
330	360	728
331	361	726
332	361	724
333	362	722
334	362	720
335	363	718
336	364	716
337	364	714
338	365	712
339	365	710
340	366	708
341	366	705
342	367	703
343	367	701
344	368	699
345	369	697
346	369	695
347	370	693
348	370	691
349	371	690
350	372	688
351	372	686
352	373	684
353	374	682
354	374	680
355	375	679
356	376	677
357	376	675
358	377	674
359	378	672
360	378	670
361	379	668
362	380	667
363	380	665
364	381	663
365	382	661
366	382	659
367	383	658
368	383	656
369	384	654
370	385	653
371	385	651
372	386	650
373	387	648
374	388	647
375	389	645
376	389	643
377	390	642
378	390	640
379	391	638
380	392	637
381	392	635
382	393	633
383	393	631
384	394	630
385	395	628
386	395	626
387	396	625
388	396	623
389	397	621
390	398	620
391	398	618
392	399	616
393	399	615
394	400	613
395	401	611
396	401	610
397	402	609
398	403	607
399	403	605
400	404	604
401	405	602
402	405	601
403	406	599
404	407	598
405	407	596
406	408	594
407	408	593
408	409	591
409	410	590
410	410	588
411	411	587
412	412	585
413	412	584
414	413	582
415	414	581
416	414	579
417	415	578
418	415	576
419	416	575
420	417	573
421	417	572
422	418	571
423	419	569
424	420	568
425	420	566
426	421	565
427	421	563
428	422	562
429	423	561
430	423	559
431	424	558
432	425	556
433	425	555
434	426	553
435	427	552
436	427	551
437	428	549
438	428	548
439	429	546
440	430	545
441	430	543
442	431	542
443	432	541
444	433	540
445	434	539
446	434	537
447	435	536
448	436	535
449	436	534
450	437	532
451	438	531
452	439	530
453	440	529
454	440	528
455	441	527
456	442	525
457	443	524
458	444	523
459	445	522
460	445	521
461	446	520
462	447	518
463	448	517
464	449	516
465	450	515
466	451	514
467	451	513
468	452	512
469	453	511
470	454	510
471	454	508
472	455	507
473	456	506
474	457	505
475	457	504
476	458	502
477	459	501
478	460	500
479	460	499
480	461	498
481	462	497
482	463	496
483	464	495
484	465	494
485	465	492
486	466	491
487	467	490
488	468	489
489	469	488
490	470	487
491	471	486
492	472	485
493	473	484
494	473	483
495	474	482
496	475	480
497	475	479
498	476	478
499	477	477
500	478	476
501	479	475
502	480	474
503	481	473
504	482	472
505	483	471
506	483	470
507	484	469
508	485	468
509	486	467
510	486	465
511	487	464
512	488	463
513	489	462
514	489	461
515	490	460
516	491	459
517	492	458
518	493	457
519	494	456
520	495	455
521	496	454
522	497	453
523	497	452
524	498	451
525	499	450
526	500	449
527	501	448
528	502	447
529	502	445
530	503	444
531	504	443
532	505	442
533	505	441
534	506	440
535	507	439
536	509	438
537	509	437
538	510	436
539	511	435
540	512	434
541	513	433
542	513	432
543	514	431
544	515	430
545	516	429
546	517	428
547	517	427
548	518	426
549	519	425
550	520	423
551	521	422
552	521	421
553	522	420
554	523	419
555	524	418
556	525	417
557	525	416
558	526	415
559	527	414
560	527	412
561	528	411
562	529	410
563	529	409
564	530	408
565	531	407
566	531	406
567	532	404
568	533	403
569	533	402
570	534	401
571	534	400
572	535	399
573	536	397
574	536	396
575	537	395
576	538	394
577	538	393
578	539	392
579	540	391
580	540	390
581	541	388
582	542	387
583	542	386
584	543	385
585	544	384
586	544	383
587	545	382
588	545	380
589	546	379
590	547	378
591	547	377
592	548	376
593	549	375
594	549	374
595	550	373
596	551	371
597	551	370
598	552	369
599	552	368
600	553	367
601	554	366
602	554	365
603	555	364
604	556	363
605	556	361
606	557	360
607	557	359
608	558	358
609	559	357
610	559	356
611	560	355
612	561	354
613	561	353
614	562	352
615	562	350
616	563	349
617	564	348
618	564	347
619	565	346
620	566	345
621	566	344
622	567	343
623	568	342
624	568	341
625	569	340
626	570	339
627	571	338
628	571	337
629	572	336
630	573	335
631	574	334
632	574	333
633	575	332
634	576	331
635	576	330
636	577	328
637	577	327
638	578	326
639	579	325
640	579	324
641	580	323
642	580	322
643	581	321
644	582	320
645	582	319
646	583	318
647	584	317
648	585	316
649	585	315
650	586	314
651	586	313
652	587	312
653	588	311
654	588	310
655	589	309
656	590	308
657	590	307
658	591	305
659	591	304
660	592	303
661	593	302
662	593	301
663	594	300
664	594	299
665	595	298
666	596	297
667	596	296
668	597	295
669	597	294
670	598	293
671	598	292
672	599	291
673	600	290
674	601	289
675	601	288
676	602	287
677	602	286
678	603	285
679	604	284
680	604	283
681	605	282
682	605	281
683	606	280
684	607	279
685	607	278
686	608	277
687	609	276
688	609	275
689	610	274
690	610	273
691	611	272
692	612	271
693	612	270
694	613	269
695	614	268
696	614	267
697	615	266
698	616	265
699	616	264
700	617	263
701	617	262
702	618	261
703	619	260
704	619	259
705	620	258
706	620	257
707	621	256
708	622	255
709	622	254
710	623	253
711	623	252
712	624	251
713	625	250
714	625	249
715	626	248
716	626	247
717	627	246
718	628	245
719	628	244
720	629	243
721	629	242
722	630	241
723	631	240
724	632	239
725	632	238
726	633	237
727	633	236
728	634	235
729	635	234
730	635	233
731	636	232
732	636	231
733	637	231
734	638	230
735	638	229
736	639	228
737	639	227
738	640	226
739	641	225
740	641	224
741	642	223
742	642	222
743	643	221
744	644	220
745	644	219
746	645	218
747	646	217
748	646	216
749	647	215
750	648	214
751	648	213
752	649	213
753	650	212
754	650	211
755	651	210
756	652	209
757	652	208
758	653	207
759	654	206
760	654	205
761	655	204
762	655	203
763	656	202
764	657	201
765	657	200
766	658	200
767	659	199
768	659	198
769	660	197
770	661	196
771	662	195
772	663	194
773	663	193
774	664	192
775	665	192
776	666	191
777	667	190
778	668	189
779	668	188
780	669	187
781	670	186
782	671	186
783	671	185
784	673	184
785	674	183
786	674	182
787	675	181
788	676	180
789	676	179
790	677	179
791	678	178
792	679	177
793	679	176
794	680	175
795	681	174
796	681	173
797	682	172
798	683	171
799	684	171
800	685	170
801	685	169
802	686	168
803	687	167
804	687	166
805	688	165
806	688	164
807	689	163
808	691	163
809	691	162
810	692	161
811	693	160
812	693	159
813	694	158
814	695	157
815	695	156
816	696	156
817	697	155
818	698	154
819	698	153
820	699	152
821	699	151
822	700	150
823	701	149
824	701	148
825	702	148
826	703	147
827	704	146
828	705	145
829	705	144
830	706	143
831	707	142
832	707	141
833	708	141
834	709	140
835	710	139
836	710	138
837	711	137
838	711	136
839	712	135
840	712	134
841	713	133
842	714	133
843	714	132
844	715	131
845	716	130
846	716	129
847	717	128
848	718	127
849	718	126
850	719	125
851	719	125
852	720	124
853	721	123
854	722	122
855	723	121
856	723	120
857	724	119
858	725	119
859	725	118
860	726	117
861	726	116
862	727	115
863	728	114
864	729	113
865	729	112
866	730	112
867	731	111
868	731	110
869	732	109
870	733	108
871	733	107
872	734	106
873	735	106
874	736	105
875	736	104
876	737	103
877	738	102
878	738	101
879	739	100
880	739	99
881	741	99
882	741	98
883	742	97
884	743	96
885	743	95
886	744	94
887	744	93
888	745	93
889	746	92
890	746	91
891	747	90
892	748	89
893	749	88
894	750	88
895	750	87
896	751	86
897	752	85
898	753	84
899	753	83
900	754	82
901	755	82
902	755	81
903	756	80
904	757	79
905	757	78
906	758	77
907	758	76
908	759	76
909	760	75
910	761	74
911	762	73
912	762	72
913	763	71
914	763	70
915	764	70
916	765	69
917	765	68
918	766	67
919	767	66
920	768	65
921	768	65
922	769	64
923	770	63
924	772	62
925	773	61
926	773	60
927	774	60
928	774	59
929	775	58
930	776	57
931	776	56
932	777	55
933	778	54
934	778	54
935	779	53
936	780	52
937	780	51
938	781	50
939	781	49
940	782	49
941	783	48
942	784	47
943	784	46
944	785	45
945	786	44
946	786	44
947	787	43
948	788	42
949	789	41
950	789	40
951	790	39
952	791	39
953	791	38
954	792	37
955	793	36
956	794	35
957	794	34
958	795	34
959	796	33
960	797	32
961	798	31
962	799	30
963	800	29
964	801	29
965	802	28
966	802	27
967	803	26
968	804	25
969	804	24
970	805	24
971	807	23
972	807	22
973	808	21
974	809	20
975	809	19
976	810	19
977	811	18
978	812	17
979	813	16
980	814	15
981	815	14
982	815	14
983	816	13
984	817	12
985	818	11
986	819	10
987	820	9
988	821	9
989	821	8
990	822	7
991	823	6
992	824	5
993	825	4
994	825	4
995	826	3
996	827	2
997	828	1
998	829	0
999	829	0
